CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Exterior;0;0;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Nordeste;0;0;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Norte;0;0;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Sudeste;11;185;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Sul;0;0;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Centro-Oeste;0;0;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Exterior;0;0;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Nordeste;13;21;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Norte;0;0;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Sudeste;2;2;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Sul;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Exterior;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Nordeste;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Norte;0;0;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Sudeste;1;4;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Sul;0;0;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Exterior;0;0;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Nordeste;0;0;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Norte;0;0;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Sudeste;2;1;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Sul;0;0;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Centro-Oeste;0;0;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Exterior;0;0;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Nordeste;0;0;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Norte;0;0;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Sudeste;34;106;0;0;0
